id	N	mean	sd	se	sentence	task	reference
AC-01-R0001	14	5.285714286	1.325987088	0.354384956	Quando gli invitati erano in ritardo lui avvertiva sempre il ristorante.	acceptability	mancini_etal_2018
AC-01-R0002	10	6.7	0.674948558	0.213437475	I ciclisti hanno pedalato.	acceptability	greco_etal_2020
AC-01-R0003	10	6.8	0.632455532	0.2	I malati hanno starnutito.	acceptability	greco_etal_2020
AC-01-R0004	11	6.272727273	1.489356176	0.449057783	Secondo te i maiali sono ingrassati?	acceptability	greco_etal_2020
AC-01-R0005	30	5.466666667	1.696514344	0.309739725	Sono gli architetti che voi ingegneri avete consultato prima di iniziare i lavori.	acceptability	chesi_canal_2019
AC-01-R0006	10	6.1	0.994428926	0.314466038	Secondo te sono tornate le attrici?	acceptability	greco_etal_2020
AC-01-R0007	14	6.214285714	1.4769288	0.394725825	Il falegname è arrivato mentre lui montava la mensola.	acceptability	mancini_etal_2018
AC-01-R0008	17	5.882352941	1.615640467	0.39185037	Secondo te hanno esultato i tifosi?	acceptability	greco_etal_2020
AC-01-R0009	18	1.388888889	0.697802339	0.164473589	Quando il tassista ritardava anche soltanto cinque minuti io perdevamo il treno.	acceptability	mancini_etal_2018
AC-01-R0010	17	5.411764706	1.543487266	0.374350649	Secondo te hanno abbaiato i cani?	acceptability	greco_etal_2020
AC-01-R0011	14	1.857142857	1.292412345	0.345411728	Per contrastare la crescente criminalità tu difendevate la casa con un recinto.	acceptability	mancini_etal_2018
AC-01-R0012	11	6.363636364	1.501514387	0.452723622	Secondo te i falegnami hanno costruito il tavolo?	acceptability	greco_etal_2020
AC-01-R0013	10	6.6	0.699205899	0.221108319	Secondo te i ragazzi hanno bestemmiato?	acceptability	greco_etal_2020
AC-01-R0014	10	5.3	1.82878223	0.578311719	Sono scesi i vicini.	acceptability	greco_etal_2020
AC-01-R0015	17	5.705882353	1.611082939	0.390745008	Le verifiche del danno sono il presupposto della sentenza.	acceptability	greco_etal_2020
AC-01-R0016	16	6.1875	1.376892637	0.344223159	Sono scoppiati i petardi.	acceptability	greco_etal_2020
AC-01-R0017	14	1.857142857	1.406421693	0.375882008	Quando il tempo non era bello loro annullava tutte le immersioni.	acceptability	mancini_etal_2018
AC-01-R0018	17	6.352941176	1.497547014	0.363208501	Secondo te gli scalatori sono precipitati?	acceptability	greco_etal_2020
AC-01-R0019	10	5.1	1.852925615	0.585946528	Sono gli infermieri che i primari hanno chiamato in sala operatoria.	acceptability	chesi_canal_2019
AC-01-R0020	17	6.529411765	1.067570083	0.258923777	I fiumi sono esondati.	acceptability	greco_etal_2020
AC-01-R0021	10	7	0	0	Le mucche hanno muggito.	acceptability	greco_etal_2020
AC-01-R0022	17	5.117647059	1.763602596	0.427736458	Il simbolo della stagione sono le potature della vigna.	acceptability	greco_etal_2020
AC-01-R0023	17	3.411764706	1.121317502	0.271959441	Secondo te hanno svaligiato i ladri la villa?	acceptability	greco_etal_2020
AC-01-R0024	12	6.583333333	0.668557923	0.192996049	Quando gli studenti erano troppo indisciplinati noi richiedevamo la presenza del preside.	acceptability	mancini_etal_2018
AC-01-R0025	18	1.944444444	1.551933224	0.365794169	I dipendenti scioperavano sempre se lui imponevano turni di lavoro più lunghi.	acceptability	mancini_etal_2018
AC-01-R0026	16	5.8125	1.223042654	0.305760663	Sono partiti gli autobus.	acceptability	greco_etal_2020
AC-01-R0027	16	3.875	1.927865832	0.481966458	Il riflesso del consenso sono le vedute della piazza.	acceptability	greco_etal_2020
AC-01-R0028	10	4.2	1.751190072	0.553774924	Hanno riposato i calciatori.	acceptability	greco_etal_2020
AC-01-R0029	28	5.25	2.170935965	0.410268334	Sono i testimoni che gli imputati hanno screditato durante tutto il processo.	acceptability	chesi_canal_2019
AC-01-R0030	17	3.176470588	1.704233483	0.413337333	Hanno coperto le lenzuola il divano.	acceptability	greco_etal_2020
AC-01-R0031	17	6.117647059	1.536324874	0.372613514	I cavi hanno trasmesso il segnale.	acceptability	greco_etal_2020
AC-01-R0032	10	4.5	1.178511302	0.372677996	Sono i geometri che i costruttori hanno accusato per il crollo del ponte.	acceptability	chesi_canal_2019
AC-01-R0033	16	6.375	1.087811258	0.271952815	Secondo te i poliziotti sono intervenuti?	acceptability	greco_etal_2020
AC-01-R0034	14	6.357142857	0.744946344	0.199095285	Di solito noi accettavamo i lavori di traduzione solo con pagamento anticipato.	acceptability	mancini_etal_2018
AC-01-R0035	10	2.3	1.33749351	0.422952585	Siete voi idraulici che voi elettricisti avete visto nella casa in ristrutturazione.	acceptability	chesi_canal_2019
AC-01-R0036	14	5.785714286	1.42389344	0.380551529	Quando gli invitati erano in ritardo loro avvertivano sempre il ristorante.	acceptability	mancini_etal_2018
AC-01-R0037	12	2.083333333	2.108783938	0.608753487	Quando il cane dei vicini abbaiava noi chiamavo sempre i carabinieri.	acceptability	mancini_etal_2018
AC-01-R0038	10	4.4	2.221110833	0.702376917	Sono gli inquilini che voi locatori avete disapprovato durante la riunione di condominio.	acceptability	chesi_canal_2019
AC-01-R0039	12	1.416666667	0.668557923	0.192996049	Mentre gli invitati giocavano a carte voi suonavi il pianoforte.	acceptability	mancini_etal_2018
AC-01-R0040	17	6.882352941	0.332105582	0.080547435	I nemici sono scappati.	acceptability	greco_etal_2020
AC-01-R0041	16	6.75	0.447213595	0.111803399	Le capre hanno brucato l'erba.	acceptability	greco_etal_2020
AC-01-R0042	16	5.6875	1.195477589	0.298869397	Secondo te sono ingrassati i maiali?	acceptability	greco_etal_2020
AC-01-R0043	14	5.785714286	1.121713759	0.299790612	Quando il tassista ritardava anche soltanto cinque minuti lui perdeva il treno.	acceptability	mancini_etal_2018
